Sols;Na2O;MgO;Al2O3;SiO2;P2O5;SO3;Cl;K2O;CaO;TiO2;Cr2O3;MnO;FeO;Ni;Zn;Br;Amorphous;Pyroxene;Sulfate;Magnetite;Hematite;Feldspar;Plagioclase;Clay;Rank;Latitude;Longitude
1151;2.56;10.12;8.79;44.61;0.76;4.9;1.33;0.31;5.51;0.87;0.41;0.43;19.36;456;325;192;42.61;17.89;2.74;4.78;0.1;0.4;22.23;9.24;257;-4.673326522;137.3684115
1157;2.55;4.94;9.26;50.7;0.53;6.28;0.72;0.98;4.81;1.02;0.3;0.22;17.42;764;1210;72;48.33;13.54;3.08;3.44;0.24;0.78;21.34;9.24;258;-4.674394971;137.3678366
1157;2.53;4.55;9.23;52.45;0.48;5.46;0.71;1.05;4.45;1.03;0.31;0.22;17.28;816;1303;72;53.69;8.76;3.52;1.62;0.24;0.81;21.02;10.34;259;-4.674394971;137.3678366
1166;2.71;5.62;9.31;51.24;0.74;4.92;1.38;0.93;4.02;1.06;0.3;0.33;17.17;1158;1088;352;47.19;13.54;3.08;3.44;0.24;0.83;21.34;10.34;260;-4.676310004;137.3660529
1182;2.55;9.85;8.46;44.48;0.86;3.61;0.64;0.39;6.81;0.96;0.3;0.38;20.61;822;209;60;48.51;13.54;3.08;3.44;0.1;0.83;21.25;9.24;261;-4.679323482;137.3657563
1182;2.74;8.98;9.83;45.69;0.77;3.19;0.51;0.43;7.29;0.89;0.43;0.41;18.83;496;197;32;41.07;19.58;2.49;5.14;0.24;0.91;21.34;9.24;262;-4.679323482;137.3657563
1184;2.27;9.97;8.49;44.56;0.76;3.28;0.51;0.35;7.04;0.9;0.53;0.4;20.76;490;228;20;35.96;23.65;2.01;6.64;0.14;1.03;21.34;9.24;263;-4.679363195;137.3656255
1184;3.22;7.46;10.87;48.11;1;4.07;0.72;0.56;6.55;0.82;0.2;0.34;16.02;511;191;103;34.74;24.2;1.73;7.46;0.14;1.25;21.25;9.24;264;-4.679363195;137.3656255
1191;2.44;7.48;9.05;44.7;1.23;10.35;1.03;0.67;5.04;0.92;0.27;0.21;16.19;1934;999;266;35.1;24.8;1.47;8.02;0;1.49;21.25;7.87;265;-4.679280529;137.3666084
1191;2.64;7.69;9.45;46.29;1.14;7.41;1.12;0.6;5.57;1.03;0.3;0.27;16.27;671;1024;147;35.3;24.8;1.47;8.07;0;1.57;21.25;7.53;266;-4.679280529;137.3666084
1202;2.54;2.37;4.34;52.89;1.22;11.76;0.45;0.33;7.66;1.05;0.44;0.15;14.71;282;154;242;35.59;24.2;1.47;8.07;0.14;1.6;21.41;7.53;267;-4.680045274;137.3680176
1202;2.43;1.81;3.92;53.24;1.15;11.92;0.46;0.3;7.8;1;0.45;0.14;15.25;293;162;228;35.34;24.2;1.47;8.07;0.31;1.6;21.49;7.53;268;-4.680045274;137.3680176
1202;2.67;8.36;10.01;48.15;0.75;2.82;0.5;0.48;7.2;0.84;0.32;0.37;17.5;504;190;37;35.45;24.2;1.47;8.07;0.31;1.49;21.49;7.53;269;-4.678994707;137.3670962
1225;2.35;9.32;9.16;45.74;0.73;2.87;0.49;0.39;7.13;0.84;0.47;0.39;19.97;528;202;28;33.96;25.43;1.22;8.98;0.14;1.25;21.49;7.53;270;-4.678994707;137.3670962
1226;2.75;7.57;9.78;47.88;0.79;3.36;0.5;0.49;7.3;0.88;0.39;0.37;17.91;439;203;25;32.38;25.43;1.22;8.98;0.14;1.25;21.49;9.11;271;-4.678994707;137.3670962
1231;2.43;11.46;8.46;45.85;0.7;2.29;0.4;0.35;6.55;0.71;0.3;0.42;20.08;795;129;37;33.06;25.19;1.22;8.98;0.14;1.25;21.49;8.67;272;-4.678994707;137.3670962
1241;2.27;11.24;8.33;45.53;0.75;2.57;0.44;0.38;7;0.75;0.28;0.38;20.02;753;141;54;33.23;24.2;1.51;7.91;0.31;1.25;21.49;10.1;273;-4.678994707;137.3670962
1242;1.72;11.5;7.88;46.24;0.78;2.92;0.5;0.4;6.68;0.68;0.24;0.43;19.82;696;152;81;39.03;19.75;2.48;5.07;0.5;1.11;21.77;10.29;274;-4.678994707;137.3670962
1242;1.87;11.71;8.15;45.42;0.72;2.57;0.44;0.37;6.88;0.74;0.32;0.36;20.3;732;150;30;44.87;13.87;3.6;3.1;1.22;1.29;21.77;10.29;275;-4.678994707;137.3670962
1245;2.43;5.53;8.77;48.88;0.9;6.36;0.8;1.15;4.19;0.92;0.25;0.25;19.17;1143;853;180;46.06;13.87;3.6;3.32;1.22;1.49;21.77;8.67;276;-4.679073848;137.3670851
1245;2.42;5.11;8.48;46.48;0.76;9.71;0.81;1.09;5.9;0.95;0.27;0.17;17.58;978;866;159;46.62;12.57;3.8;3.79;2.12;1.62;21.77;7.71;277;-4.679073848;137.3670851
1251;2.23;5.99;8.5;46.64;0.97;9.9;1.24;1.04;4.86;0.93;0.28;0.15;16.96;861;569;339;42.48;14.82;2.99;5.76;2.8;1.62;21.99;7.53;278;-4.678760223;137.3655799
1253;2.73;7.79;10.21;48.31;0.82;3.18;0.55;0.51;7.27;0.81;0.38;0.34;16.92;407;192;32;43.54;14.82;2.99;5.76;1.74;1.62;21.99;7.53;279;-4.678760223;137.3655799
1253;2.55;5.93;8.99;49.2;0.75;6.34;1.08;0.92;4.22;1.04;0.29;0.18;18.15;856;572;117;45.2;12.57;3.8;4.05;3.15;1.71;21.99;7.53;280;-4.678760223;137.3655799
1253;2.29;10.31;7.98;46.13;0.74;3.3;0.62;0.44;6.19;0.78;0.3;0.35;20.46;822;274;97;45.41;12.57;3.8;3.74;3.15;1.63;21.99;7.71;281;-4.678760223;137.3655799
1259;2.5;6.8;8.49;46.74;0.99;8.58;1.18;0.95;4.45;0.94;0.24;0.27;17.53;914;829;402;44.94;12.57;3.8;3.32;3.15;1.63;21.88;8.7;282;-4.67830168;137.3651101
1259;2.61;6.08;9.07;48.52;0.83;7.47;0.82;0.85;4.53;0.99;0.3;0.28;17.33;1031;1053;464;44.13;12.57;3.83;2.64;3.15;1.48;21.88;10.31;283;-4.67830168;137.3651101
1266;2.58;5.94;9.02;50.29;0.83;4.68;1.02;1.08;4.35;1;0.28;0.26;18.3;788;967;431;43.39;12.5;4.02;2.09;3.15;1.28;21.88;11.68;284;-4.677568956;137.3637157
1273;2.59;5.13;9.36;51.7;0.66;5.21;0.96;1.22;4.41;1.04;0.29;0.26;16.94;720;892;250;43.79;12.26;4.24;1.04;3.15;0.81;21.88;12.83;285;-4.677568956;137.3637157
1273;2.56;5.7;9.71;48.6;1.09;5.24;1;1.03;5.21;0.94;0.26;0.16;18.04;740;1559;425;43.59;11.64;4.4;0;3.15;0.45;21.88;14.9;286;-4.678125095;137.3629425
1273;2.69;5.78;10.38;50.71;1.03;4.09;0.88;1.12;4.85;1.05;0.35;0.12;16.56;884;1854;445;41.95;12.26;4.24;0.91;1.57;0.42;21.99;16.66;287;-4.678125095;137.3629425
1275;1.59;3.99;3.57;14.89;0.78;40.32;0.6;0.13;29.39;0.22;0.12;0.1;4.21;303;243;26;42.42;12.72;4.02;1.93;0;0.26;21.99;16.66;288;-4.678607072;137.3624744
1275;2.55;5.03;9.59;52.19;0.85;4.1;0.56;1.06;3.94;1.05;0.32;0.3;18.17;635;1713;45;42.4;13.03;3.83;1.93;0;0.26;21.89;16.66;289;-4.678607072;137.3624744
1277;2.71;8.77;9;41.63;0.83;6.91;0.91;0.51;7.19;0.94;0.42;0.36;19.65;439;397;195;42.91;12.72;4.02;1.05;0;0.04;21.76;17.5;290;-4.678624988;137.3623576
1277;2.62;8.68;8.55;43.04;0.94;6.64;0.97;0.48;6.72;1.01;0.49;0.38;19.32;427;462;390;41.95;13.03;3.83;1.93;0;0;21.76;17.5;291;-4.678624988;137.3623576
1278;2.58;9.2;8.58;41.63;0.88;8.86;0.95;0.46;7.07;0.88;0.4;0.35;17.98;426;335;235;41.94;13.03;3.83;1.13;0;0;21.76;18.3;292;-4.678624988;137.3623576
1278;2.54;10.21;7.97;40.08;0.85;11.72;1.08;0.42;6.81;0.85;0.38;0.35;16.59;387;334;388;42.02;13.03;3.76;1.13;0;0;21.76;18.3;293;-4.678624988;137.3623576
1278;2.48;10.34;7.97;39.76;0.86;12.07;1.15;0.41;6.78;0.81;0.36;0.35;16.47;436;349;414;39.83;14.82;3.72;1.57;0;0;21.76;18.3;294;-4.678624988;137.3623576
1278;2.48;10.43;7.7;39.27;0.86;12.73;1.16;0.43;6.75;0.83;0.4;0.35;16.46;404;362;440;38.05;16.7;3.62;1.57;0;0;21.76;18.3;295;-4.678624988;137.3623576
1279;2.77;8.83;9.15;40.98;0.94;7.5;0.97;0.54;7.24;0.93;0.33;0.39;19.19;424;635;232;38.95;16.7;3.43;0.89;0;0;21.73;18.3;296;-4.678624988;137.3623576
1279;2.74;8.68;8.98;41.54;0.94;6.92;0.97;0.49;7.15;0.98;0.32;0.4;19.71;475;582;206;38.76;16.99;3.32;0.89;0;0;21.73;18.3;297;-4.678624988;137.3623576
1280;2.66;8.84;8.88;40.83;0.95;7.86;0.99;0.49;7.21;0.96;0.32;0.39;19.43;468;602;274;39.29;16.99;3.32;0.37;0;0;21.73;18.3;298;-4.678624988;137.3623576
1287;2.3;6.15;5.96;31.58;0.78;23.2;1.07;0.3;15.89;0.58;0.21;0.27;11.54;273;192;227;40.08;16.99;3.3;0.37;0;0;21.76;17.5;299;-4.67862735;137.3608403
1288;2.56;9.53;10.48;43.67;0.8;4.73;1.51;0.38;5.92;0.87;0.46;0.4;18.56;640;217;178;40.34;16.99;3.3;0.14;0;0;21.73;17.5;300;-4.67862735;137.3608403
1294;2.63;9.8;8.18;41.96;0.89;7.17;1.11;0.35;6.33;0.88;0.39;0.4;19.75;589;276;187;45.23;14.91;3.26;0;0;0;21.71;14.89;301;-4.678185931;137.3603234
1300;2.48;5.4;5.55;58.04;0.99;11.15;1.38;0.47;6.97;1.16;0.43;0.12;5.72;101;140;476;51.21;12.72;3.21;0;0;0;21.71;11.15;302;-4.678310335;137.3594176
1300;2.99;7.18;8.93;45.03;0.84;8.62;1.21;0.48;7.52;0.88;0.43;0.27;15.52;323;189;125;56.5;12.02;3.21;0;0;0;21.36;6.91;303;-4.678310335;137.3594176
1313;3;6.1;8.7;50.12;1.01;5.94;1.84;0.57;5.73;0.95;0.38;0.2;15.36;238;232;101;59.21;11.39;3.21;0;0;0;21.36;4.82;304;-4.678200844;137.3589298
1313;2.16;4.44;4.21;66.61;1.7;7.84;1.23;0.33;3.85;1.34;0.4;0.07;5.68;53;90;161;59.77;10.83;3.21;0;0;0;21.36;4.82;305;-4.678200844;137.3589298
1314;3.04;6.23;8.85;49.03;0.91;6.58;2.08;0.49;6.56;0.93;0.38;0.26;14.57;248;249;76;59.27;10.99;3.21;0;0;0;21.71;4.82;306;-4.678200844;137.3589298
1318;2.07;5.15;5.6;57.99;0.9;11.32;1.71;0.46;6.97;1.02;0.42;0.05;5.83;91;85;411;59.29;10.99;3.23;0;0;0;21.67;4.82;307;-4.678260752;137.3592342
1318;2.63;5.22;5.95;54.58;1.18;11.9;1.9;0.47;7.54;1.01;0.41;0.12;6.9;112;112;355;59.9;10.99;2.74;0;0;0;21.55;4.82;308;-4.678260752;137.3592342
1318;2.67;3.9;5.78;54.86;1.06;11.2;2.15;0.43;6.57;0.91;0.34;0.1;9.82;171;97;214;60.34;10.99;2.51;0;0;0;21.33;4.82;309;-4.678260752;137.3592342
1319;2.39;3.91;4.41;63.51;1.53;9.52;2.62;0.5;4.88;1.13;0.35;0.09;5.06;77;95;446;59.05;12.49;2.3;0;0;0;21.33;4.82;310;-4.678260752;137.3592342
1319;2.49;3.96;4.35;63.1;1.5;9.62;2.68;0.49;5.01;1.12;0.37;0.08;5.1;76;104;442;59.38;12.49;2.3;0;0;0;21.33;4.49;311;-4.678260752;137.3592342
1325;1.59;1.06;2.12;63.58;1.49;15.07;0.31;0.29;8.58;1.07;0.34;0.06;4.31;43;78;83;59.25;12.49;2.22;0;0;0;21.55;4.49;312;-4.678260752;137.3592342
1326;1.92;1.55;3.09;59.75;1.33;13.69;0.32;0.31;8.22;1.11;0.29;0.09;8.22;111;89;60;57.2;14.21;2.22;0;0;0;21.55;4.82;313;-4.678260752;137.3592342
1327;2.57;6.28;6.95;48.62;0.98;8.03;1.07;0.44;6.3;1.02;0.48;0.34;16.79;384;247;100;57.63;14.21;2.12;0;0;0;21.55;4.49;314;-4.678260752;137.3592342
1327;2.67;7.7;8.1;44.6;0.93;9.47;1.21;0.47;6.84;0.96;0.42;0.3;16.21;370;199;68;57.52;14.21;2.12;0;0;0;21.33;4.82;315;-4.678260752;137.3592342
1327;2.67;7.45;8.02;45.76;0.94;7.83;1.25;0.44;6.37;1;0.45;0.32;17.39;350;227;82;50.88;17.39;2.19;2.39;0;0;21.4;5.75;316;-4.678260752;137.3592342
1330;2.83;9.14;9.03;43.49;0.91;5.04;1.24;0.4;6.35;0.93;0.37;0.4;19.72;437;271;140;53.68;15.24;2.23;0.43;0;0;21.4;7.01;317;-4.678240305;137.3591733
1330;2.8;9.07;9.03;42.84;0.92;5.28;1.16;0.41;6.4;0.87;0.38;0.38;20.33;484;292;143;52.82;15.24;2.33;0.43;0;0.03;21.4;7.75;318;-4.678240305;137.3591733
1337;2.92;9.96;9.49;44.67;0.78;0.65;0.63;0.33;6.54;0.95;0.38;0.41;22.13;461;329;141;50.16;15.24;2.54;2.82;0;0.09;21.4;7.75;319;-4.678240305;137.3591733
1339;3.21;8.6;10.62;47.31;0.72;1.04;0.61;0.43;6.63;0.92;0.33;0.38;19.04;416;350;116;47.83;15.24;2.54;4.85;0;0.31;21.49;7.75;320;-4.678240305;137.3591733
1341;2.99;8.49;9.43;44.1;0.98;5.59;1.25;0.45;6.57;0.91;0.34;0.37;18.39;399;315;147;46.9;15.24;2.96;5.03;0;0.53;21.57;7.75;321;-4.678240305;137.3591733
1341;2.64;9.23;11.78;43.44;0.87;3.94;1.9;0.41;4.98;0.81;0.49;0.32;19.04;590;309;273;43;18.91;2.96;5.19;0.04;0.58;21.57;7.75;322;-4.678240305;137.3591733
1348;2.95;7.68;13.29;44.68;0.86;5.2;1.94;0.42;6.34;0.86;0.51;0.29;14.8;413;247;722;42.57;18.91;2.96;5.19;0.17;0.69;21.77;7.75;323;-4.678178491;137.3587561
1348;2.79;8.74;8.75;43.79;0.95;4.96;1.1;0.36;6.84;0.96;0.35;0.39;19.84;479;359;381;42.11;18.91;2.96;5.19;0.3;0.79;21.99;7.75;324;-4.678178491;137.3587561
1351;2.73;8.85;8.86;43.61;0.87;5.39;1.09;0.42;6.69;0.97;0.4;0.38;19.55;521;311;157;41.8;18.91;2.96;5.19;0.3;0.83;22.55;7.46;325;-4.678253818;137.3586466
1352;2.99;5.33;7.47;50.1;1.85;7.07;2.36;0.51;5.34;0.93;0.35;0.18;15.42;226;156;228;40.75;18.91;2.96;5.19;0.87;0.83;23.03;7.46;326;-4.678253818;137.3586466
1355;2.42;7.28;8.69;44.77;0.9;7.37;1.3;0.81;5.36;1.06;0.3;0.28;19.19;889;1075;115;40.25;18.91;2.96;5.19;1.37;0.83;23.03;7.46;327;-4.678669864;137.3578228
1355;2.71;5.25;10.1;51.96;0.57;4.22;0.82;1.02;3.78;1.03;0.3;0.24;17.74;710;849;88;44.71;14.14;3.41;5.03;1.37;0.83;23.06;7.46;328;-4.678669864;137.3578228
1358;2.6;5.76;9.72;53.01;0.53;4.79;0.57;0.91;4.2;1.05;0.35;0.23;16.03;571;1008;228;44.57;13.95;3.48;5.03;1.37;0.83;23.31;7.46;329;-4.678641386;137.3577081
1358;2.5;5.71;9.65;52.95;0.53;4.76;0.57;0.87;4.34;1.07;0.34;0.23;16.17;652;1096;235;46.14;12.54;3.58;4.48;1.41;0.64;23.45;7.75;330;-4.678641386;137.3577081
1359;3.08;8.97;9.64;45.1;0.75;0.96;0.5;0.37;6.36;0.94;0.41;0.39;22.39;494;321;106;46.64;11.92;3.72;3.5;1.53;0.64;23.4;8.65;331;-4.678641386;137.3577081
1364;2.52;4.84;9.37;52.87;0.5;3.54;0.35;0.85;4.03;1.09;0.34;0.28;19.17;726;1168;17;47.67;10.72;3.98;2.88;1.86;0.83;23.4;8.65;332;-4.678641386;137.3577081
1366;2.6;5.57;9.59;52.45;0.59;5.48;0.57;0.86;4.62;1.05;0.33;0.26;15.77;622;1034;251;47.71;10.72;3.98;2.88;1.76;0.97;23.4;8.57;333;-4.678641386;137.3577081
1368;2.59;4.9;9.4;51.82;0.52;4.36;0.35;0.87;4.55;1.05;0.32;0.22;18.74;773;1081;24;47.71;10.72;3.98;2.88;1.76;0.97;23.4;8.57;334;-4.678641386;137.3577081
1375;2.85;7.66;9.04;43.4;1.07;9.71;2.16;0.76;4.53;0.93;0.27;0.19;17.21;771;638;134;48.72;10.72;3.98;2.88;1.76;0.97;23.5;7.46;335;-4.68007085;137.3581581
1376;2.84;7.58;8.88;43.71;1.07;9.47;2.17;0.76;4.48;0.94;0.26;0.18;17.31;818;671;150;49;10.72;3.98;2.46;1.76;0.97;23.65;7.46;336;-4.68007085;137.3581581
1380;2.45;8.35;8.78;45.3;0.64;9.01;1.14;0.73;5.79;0.86;0.3;0.21;16.06;1029;634;197;49.52;10.72;3.98;2.88;1.76;0.97;23.92;6.24;337;-4.681072306;137.3580735
1380;2.35;8.65;9.15;47.64;0.61;6.8;1.09;0.79;4.59;1;0.29;0.25;16.5;1046;701;181;50.43;11.12;3.72;3.5;1.76;1.27;23.97;4.24;338;-4.681072306;137.3580735
1386;2.65;7.35;9.23;44.26;0.98;7.89;1.44;0.67;5.4;0.91;0.31;0.14;18.27;813;793;64;49.2;11.12;3.72;2.88;1.76;1.27;23.81;6.24;339;-4.683500053;137.3574937
1403;2.51;6.1;9.24;48.09;1.06;6.43;1.54;0.77;4.09;1.04;0.31;0.12;18.42;1237;749;154;47.38;11.12;4;2.46;1.76;1.27;23.65;8.36;340;-4.68513333;137.3561308
1405;2.25;5.51;8.94;45.82;1.02;7.97;1.39;1.17;4.49;1.27;0.45;0.2;19.22;759;841;344;45.07;11.12;4.4;2.07;1.76;1.27;23.5;10.81;341;-4.68513333;137.3561308
1407;3.92;4.55;9.22;54.08;0.71;4.3;1.02;2.61;3.83;0.86;0.08;0.22;14.37;120;184;208;44.45;9.71;4.78;1.02;2.12;1.03;23.5;13.38;342;-4.685180197;137.3556713
1409;3.2;7.27;10.42;47.22;1.18;3.22;1.11;0.61;6.55;1.22;0.28;0.35;17.22;239;605;240;44.8;9.71;4.8;0;2.12;1.03;23.5;14.03;343;-4.685180197;137.3556713
1409;3.14;7.72;10.38;46.18;1.09;3.23;1.31;0.49;7.04;1.05;0.26;0.39;17.56;227;431;245;44;9.71;5;0;2.12;1.03;23.4;14.73;344;-4.685180197;137.3556713
1409;3;7.09;9.35;42.34;1.03;9.5;1.3;0.51;9.18;0.9;0.26;0.29;15.12;294;334;274;43.9;9.71;5.04;0;2.12;1.03;23.19;15;345;-4.685180197;137.3556713
1409;3.21;7.26;9.5;47.99;1.23;4.22;1.33;0.62;6.83;0.97;0.25;0.33;16.14;209;437;209;43.64;9;5.06;0;3.23;1.03;23.04;15;346;-4.685180197;137.3556713
1409;4.52;2.64;9.34;59.25;0.57;2.87;0.71;3.17;2.96;0.82;0.03;0.21;12.69;56;169;33;44.7;6.85;5.49;0;4.4;1.22;22.6;14.73;347;-4.685180197;137.3556713
1416;2.45;6.06;8.7;46.17;0.8;7.48;1.37;0.82;4.56;1.01;0.32;0.12;19.84;1058;978;252;46.36;5.23;5.92;0;4.62;1.42;21.7;14.73;348;-4.687163235;137.3543902
1417;2.57;5.03;9.03;47.85;0.75;6.73;2.14;0.96;3.85;1.04;0.3;0.09;19.37;1015;889;137;45.87;5.23;5.92;0;4.88;1.67;21.69;14.73;349;-4.687163235;137.3543902
1418;2.15;5.55;8.2;45.89;1.21;8.32;1.54;0.88;4.76;1.05;0.28;0.09;19.68;849;954;703;46.37;4.52;6;0;5.01;1.88;21.49;14.73;350;-4.687184829;137.3544744
1418;2.16;5.52;8.08;45.17;1.36;9.4;1.45;0.81;5.38;0.97;0.27;0.08;19.04;878;888;612;46.16;4.18;6.06;0;5.01;1.67;21.35;15.58;351;-4.687184829;137.3544744
1419;2.59;5.08;9;48.65;0.61;5.58;0.56;0.81;5.07;1.04;0.32;0.16;20.25;851;986;114;46.57;4.07;6.06;0;4.75;1.63;21.35;15.58;352;-4.687184829;137.3544744
1426;2.11;4.58;8.49;45.99;1.05;6.78;0.48;0.83;5.27;1.07;0.33;0.09;22.53;1083;1084;259;45.07;3.85;6.2;0;4.75;1.63;21.35;17.15;353;-4.687184829;137.3544744
1436;2.37;5.63;8.87;46.14;0.89;8.46;1.59;0.8;4.43;1.02;0.32;0.18;18.92;935;1071;636;43.86;3.85;6.2;0;4.75;1.92;21.23;18.18;354;-4.691071766;137.352835
1444;2.02;5.22;8.13;44.37;0.98;10.97;0.83;0.76;6.58;1;0.28;0.13;18.5;805;701;69;43.94;3.85;6.2;0;4.75;1.92;20.96;18.38;355;-4.692200798;137.3531027
1444;2.18;5.72;8.76;48.61;1.12;4.85;1.02;0.79;3.93;1.09;0.32;0.15;21.12;1013;831;839;43.94;3.85;6.2;0;4.75;1.92;20.96;18.38;356;-4.692200798;137.3531027
1457;2.32;5.3;8.68;47.12;1.12;7.28;1;0.72;5.51;1.04;0.29;0.18;19.16;1066;834;210;44.34;3.08;6.31;0;5.02;2;20.64;18.6;357;-4.69520223;137.3530064
1457;2.51;4.91;8.85;48.48;1.14;5.9;1.25;0.77;4.97;1.07;0.3;0.22;19.33;1089;849;240;44.39;3.08;6.31;0;5.02;1.96;20.64;18.6;358;-4.69520223;137.3530064
1459;2.26;4.63;8.57;45.71;0.85;7.72;0.92;0.79;6.01;1.08;0.33;0.19;20.66;948;889;224;44.36;2.76;6.31;0;4.75;1.63;20.59;19.59;359;-4.69520223;137.3530064
1466;2.19;4.1;8.48;44.81;1.1;9.3;1.01;0.77;7.48;1.05;0.29;0.22;18.93;999;826;42;44.19;2.76;6.31;0;4.4;1.21;20.59;20.53;360;-4.69520223;137.3530064
1474;2.13;7.49;8.47;46.8;0.86;10.36;1.56;0.72;3.47;0.9;0.33;0.15;16.24;975;779;967;44.5;3.21;6.27;0;4.3;1.02;20.96;19.73;361;-4.69731227;137.354695
1474;2.15;7.51;8.47;46.35;0.88;10.45;1.63;0.73;3.73;1.03;0.3;0.17;16.24;1000;781;874;44.83;3.75;6.13;0;4.27;1.21;21.23;18.58;362;-4.69731227;137.354695
1477;2.67;6.94;8.83;40.5;2.21;5.4;2.7;0.62;3.67;1.02;0.38;0.2;24.4;714;958;1215;44.97;4.07;6.11;0;3.78;1.21;21.28;18.58;363;-4.697567556;137.3545968
1477;2.89;7.47;9.33;40.14;1.73;7.12;2.29;0.49;4.52;1.05;0.35;0.22;22.01;838;974;600;45.01;5.23;5.92;0;3.2;1.05;21.4;18.18;364;-4.697567556;137.3545968
1480;2.41;6.74;9.02;45.88;0.66;8.14;0.8;0.74;6.05;0.99;0.37;0.19;17.81;674;533;96;45.08;5.23;5.92;0;3.2;1;21.38;18.18;365;-4.697778962;137.3546066
1484;2.26;6.3;7.24;35.79;1.02;12.12;1.43;0.97;4.69;0.77;0.24;0.13;26.81;979;563;240;45.18;5.23;5.92;0;3.06;1;21.42;18.18;366;-4.698970853;137.3548913
1484;2.62;6.3;9.13;44.91;1.01;9.91;1.92;0.59;6.64;1.12;0.33;0.16;15.03;743;708;1059;44.42;6.01;5.68;0;3.06;1;21.64;18.18;367;-4.698970853;137.3548913
1491;2.4;5.24;7.86;42.62;0.65;12.83;1.45;0.65;8.61;0.96;0.29;0.15;15.98;848;684;223;44.54;5.29;5.73;0;3.06;0.94;21.64;18.81;368;-4.69960318;137.3549486
1491;2.38;5.22;8.3;44.59;0.64;10.86;1.3;0.7;7.46;1.02;0.31;0.15;16.82;871;742;161;45.41;4.56;5.81;0;3.06;0.94;21.42;18.81;369;-4.69960318;137.3549486
1493;2.53;5.53;8.65;45.3;0.93;7.63;1.33;0.71;6.51;1.07;0.33;0.23;18.98;976;776;362;46.03;4.56;5.81;0;3.06;0.94;21.42;18.18;370;-4.69960318;137.3549486
1494;2.58;6.66;9.34;46.48;0.9;4.76;0.93;0.6;6.56;0.96;0.38;0.34;19.32;682;370;79;44.03;7.09;5.39;0;3.02;1;21.65;17.82;371;-4.69960318;137.3549486
1494;2.62;6.07;8.98;46;0.93;6.12;1.34;0.63;6.2;0.97;0.44;0.28;19.13;834;634;549;43.35;8.91;5.23;0;2.97;1;21.65;16.89;372;-4.69960318;137.3549486
1494;2.68;6.39;9.54;46.89;0.91;5.16;1.01;0.67;6.61;0.97;0.37;0.31;18.3;682;486;80;43.72;8.91;5.23;0;2.83;1;21.42;16.89;373;-4.69960318;137.3549486
1496;2.01;4.25;8.68;46.17;0.61;9.13;1.06;0.83;7.13;1.1;0.3;0.16;18.3;1024;814;104;45.41;7.09;5.39;0;2.83;0.98;21.42;16.89;374;-4.69960318;137.3549486
1497;2.26;5.12;8.28;44.99;0.62;11.25;1.14;0.76;7.87;1.01;0.32;0.18;15.95;928;697;190;48.51;4.56;5.81;0;2.86;0.98;21.65;15.63;375;-4.69960318;137.3549486
1504;2.48;6.09;9;49.95;0.93;5.8;1.32;0.77;4.43;1.12;0.34;0.15;17.32;780;738;549;50.56;3.34;6.1;0;2.87;1.02;21.49;14.61;376;-4.701561756;137.3560462
1504;2.31;5.2;8.15;44.43;0.68;11.39;1.43;1.92;3.55;0.93;0.27;0.13;19.36;544;532;678;51.19;3.34;6.1;0;2.87;1.02;21.49;13.99;377;-4.701561756;137.3560462
1511;2.38;4.93;8.95;51.04;1.04;3.07;1.17;1.14;2.74;1.1;0.35;0.14;21.52;1200;815;683;50.83;3.21;6.19;0;3.35;1.02;21.42;13.99;378;-4.704095418;137.3555508
1512;2.04;4.31;8.43;50.03;0.82;5.29;0.98;1.11;3.7;1.14;0.33;0.13;21.29;1185;804;1144;51.64;2.4;6.19;0;3.35;1.02;21.42;13.99;379;-4.704095418;137.3555508
1518;2.69;8.86;9.7;45.41;0.81;3.04;0.5;0.46;7.17;0.93;0.42;0.39;19.49;548;213;46;52.48;1.25;6.42;0;3.43;1.02;21.42;13.99;380;-4.705691697;137.3561615
1518;2.61;9.11;9.66;45.54;0.79;2.97;0.49;0.48;7.39;0.91;0.49;0.41;19.03;493;209;22;53.73;1.25;6.42;0.24;3.75;1.11;21.46;12.04;381;-4.705691697;137.3561615
1523;2.06;5.36;6.48;32.36;1.24;22.48;1.63;0.36;13.87;0.76;0.19;0.16;12.91;369;345;198;51.68;1.25;6.42;0.24;3.93;1.11;21.46;13.9;382;-4.706176154;137.3566527
1524;2.29;6.24;7.38;35.64;0.95;12.61;1.61;1.17;6.07;0.88;0.26;0.18;24.45;450;570;933;51.37;1.25;6.42;0;4.44;1.11;21.36;14.05;383;-4.706176154;137.3566527
1525;2.35;5.04;9.12;51.21;0.9;5.49;1.41;0.95;2.75;1.11;0.39;0.12;18.89;669;498;600;50.88;1.25;6.42;0;4.56;1.49;21.36;14.05;384;-4.706176154;137.3566527
1531;2.2;3.62;9.86;53.06;1.17;2.49;0.83;0.84;2.21;1.11;0.39;0.08;21.91;943;454;102;49.97;2.44;6.1;0;4.65;1.84;20.96;14.05;385;-4.706322591;137.3567012
1531;2.18;3.45;9.94;53.49;1.15;2.16;0.76;0.83;2.08;1.11;0.4;0.08;22.14;933;458;104;50.08;2.45;5.98;0;4.65;1.84;20.96;14.05;386;-4.706322591;137.3567012
