Sols;Na2O;MgO;Al2O3;SiO2;P2O5;SO3;Cl;K2O;CaO;TiO2;Cr2O3;MnO;FeO;Ni;Zn;Br;Amorphous;Pyroxene;Sulfate;Magnetite;Hematite;Feldspar;Plagioclase;Clay;Rank;Latitude;Longitude
277;2.57;8.71;8.54;44.37;0.96;4.77;1.49;0.48;5.91;0.94;0.43;0.29;20.34;708;754;105;33.92;22.01;2.8;3.58;0;0.92;20.02;16.76;53;-4.589478654;137.4491125
283;2.57;9.27;8.39;43.76;0.79;2.63;1.39;0.47;6.26;0.89;0.39;0.23;22.57;886;876;110;33.35;21.99;2.96;3.26;0;0.92;19.94;17.58;54;-4.589478654;137.4491125
283;3.01;9.2;8.75;44.61;0.8;2.07;1.38;0.55;6.27;1;0.37;0.3;21.38;752;799;152;33.59;21.99;2.96;3.01;0;0.92;19.94;17.58;55;-4.589478654;137.4491125
287;2.98;9.36;8.47;42.88;0.92;2.61;1.42;0.5;6.36;0.98;0.43;0.32;22.55;877;865;127;33.65;21.99;2.96;3.01;0;0.92;19.94;17.52;56;-4.589478654;137.4491125
291;2.43;8.32;8.68;43.04;0.77;6.12;1.23;0.56;6.31;1.02;0.49;0.35;20.39;885;853;119;34.15;21.58;3.02;2.84;0;0.92;19.96;17.52;57;-4.589478654;137.4491125
291;3.14;9.15;9.34;46.81;0.92;1.57;1.33;0.66;5.44;0.91;0.42;0.28;19.82;698;777;122;34.46;21.99;2.96;3.01;0;0.89;19.96;16.72;58;-4.589478654;137.4491125
304;4.39;6.31;11.63;49.01;0.89;2.67;0.92;1.65;6.22;0.77;0.38;0.31;14.71;213;480;103;35.32;21.99;2.94;3.39;0;0.82;20.12;15.42;59;-4.589778411;137.4489636
322;2.89;8.95;8.43;42.1;0.64;5.88;1.08;0.43;6.81;0.75;0.76;0.4;20.69;217;926;399;35.61;22.17;2.79;4.26;0;0.82;20.12;14.24;60;-4.590506732;137.4488133
322;2.71;8.77;8.38;42.05;0.7;5.9;1.14;0.47;6.82;0.83;0.77;0.37;20.9;234;1023;433;34.74;22.17;2.6;6.1;0;0.82;20.29;13.28;61;-4.590506732;137.4488133
322;2.87;9.08;8.34;41.64;0.65;6.29;1.11;0.43;6.73;0.76;0.79;0.4;20.72;209;1010;393;33.55;22.17;2.6;7.58;0;0.72;20.48;12.91;62;-4.590506732;137.4488133
