Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
96,523,42.68,19.7,8.94,6.04,7.09,8.58,2.66,1.03,0.93,0.48,0.8,0.49,0.42
97,526,50.74,8.24,15.69,5.7,8.03,3.82,4.21,0.83,0.91,0.65,0.87,0.07,0.18
98,531,43.15,18.07,9.23,6.94,6.91,8.31,2.86,1.01,1.01,0.63,0.94,0.41,0.41
99,532,43.66,18.23,9.2,6.18,7.07,8.72,2.64,1.07,0.95,0.47,0.79,0.48,0.41
100,537,39.66,23.44,7.43,7.34,5.72,8.6,2.45,1,0.88,1.01,1.24,0.38,0.55
101,537,39.06,22.82,7.38,8.43,5.52,8.77,2.34,0.94,0.9,0.88,1.74,0.4,0.52
102,550,46.36,15.53,12.63,4.26,5.14,4.92,4.09,0.81,0.62,3.58,1.35,0.28,0.25
103,558,43.83,17.3,9.34,6.97,7.12,8.18,2.83,0.97,0.97,0.62,0.95,0.4,0.38
104,560,45.42,27.15,8.55,3.21,3.67,4.03,4.08,0.67,0.67,1.47,0.64,0.05,0.31
105,564,53.13,7.84,16.93,2.58,5.54,2.92,6.22,0.36,0.82,2.16,0.97,0.04,0.19
106,583,41.93,22.64,8.1,3.32,6.27,9.34,1.84,0.85,0.58,2.77,0.91,0.74,0.44
107,583,40.87,23.02,7.42,4.41,6.31,9.68,1.81,0.93,0.66,2.54,0.91,0.68,0.51
108,583,41.15,23.27,7.76,3.71,6.48,9.25,1.76,0.94,0.64,2.61,0.91,0.82,0.45
109,583,40.5,22.64,7.73,5.49,6.3,9.17,1.85,0.88,0.66,2.39,1.06,0.62,0.41
110,583,41.26,23.14,7.83,3.7,6.41,9.33,1.78,0.85,0.63,2.71,0.92,0.72,0.44
111,584,40.65,20.37,8.14,8.36,5.85,8.26,2.39,0.9,0.9,1.94,1.15,0.37,0.37
112,585,39.87,22.43,7.9,7.17,6.37,8.37,2.42,0.91,0.9,1.23,1.11,0.62,0.42
113,601,43.13,16.61,7.95,7.28,5.5,10.6,1.95,0.96,0.71,2.38,1.86,0.55,0.2
114,605,42.29,20.4,8.76,5.82,6.99,8.82,2.68,1.05,0.89,0.45,0.76,0.52,0.44
115,612,39.84,23.38,6.83,6.42,5.49,9.18,2.09,1.02,0.9,1.71,1.33,0.41,0.67
116,612,40.11,23.33,7.08,6.27,5.54,9.03,1.98,0.98,0.91,1.76,1.34,0.38,0.65
117,612,40.04,23.57,6.9,6.16,5.47,9.18,1.95,1.02,0.92,1.79,1.33,0.41,0.59
118,612,40.14,23.38,7.1,6.27,5.58,9.04,2.05,0.95,0.9,1.63,1.3,0.36,0.56
119,612,40.1,23.38,7.15,6.13,5.45,9.15,2.11,1.13,0.85,1.78,1.24,0.47,0.5
120,612,40.47,24.51,5.62,3.95,5.01,10.87,1.21,1.03,0.81,3.01,1.65,0.42,0.69
121,622,39.42,26.37,5.7,2.6,4.98,12.77,0.27,1.18,0.72,3.59,0.72,0.44,0.54
122,622,39.86,25.56,5.73,2.72,4.8,12.84,0.5,1.2,0.74,3.73,0.85,0.38,0.61
123,622,39.3,26.5,5.69,2.58,4.91,12.67,0.4,1.15,0.73,3.65,0.8,0.44,0.58
